City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Caravelas,BR,-17.7125,-39.2481,81.61,59,53,9.4,broken clouds
80,Nagpur,IN,21.15,79.1,80.62,89,40,0.0,haze
81,Isla Aguada,MX,18.7833,-91.4667,77.04,78,100,18.19,overcast clouds
82,Bamnet Narong,TH,15.4992,101.6897,70.47,79,100,4.18,overcast clouds
83,Maputo,MZ,-25.9653,32.5892,80.28,69,20,14.97,few clouds
84,Khatanga,RU,71.9667,102.5,25.45,96,100,18.84,light snow
85,Delmas,HT,18.5447,-72.3028,87.33,58,52,1.63,light rain
86,Faanui,PF,-16.4833,-151.75,78.37,73,17,8.14,few clouds
87,Tuatapere,NZ,-46.1333,167.6833,42.13,88,1,5.03,clear sky
88,Port Blair,IN,11.6667,92.75,81.23,76,84,4.09,broken clouds
89,Lagoa,PT,39.05,-27.9833,69.17,88,93,18.32,overcast clouds
90,Richards Bay,ZA,-28.783,32.0377,72.75,80,85,12.3,overcast clouds
91,Cocobeach,GA,1.0002,9.5823,73.56,90,100,5.75,light rain
92,Avarua,CK,-21.2078,-159.775,75.25,94,100,9.22,overcast clouds
93,Kaitangata,NZ,-46.2817,169.8464,41.2,96,17,4.32,few clouds
94,Bereda,ES,43.2686,-7.5406,72.41,67,0,6.85,clear sky
95,Muros,ES,42.7762,-9.0603,67.08,90,48,7.78,scattered clouds
96,Cap-Aux-Meules,CA,47.3821,-61.8597,55.45,82,75,8.05,broken clouds
97,Sedan,FR,49.6667,5.0,55.72,97,100,7.34,overcast clouds
98,Hamilton,US,39.1834,-84.5333,61.2,38,0,5.99,clear sky
99,Hithadhoo,MV,-0.6,73.0833,81.95,72,9,17.18,clear sky
100,Kahului,US,20.8947,-156.47,77.85,78,0,4.61,clear sky
101,Mezen,RU,65.8522,44.24,38.75,97,100,6.89,overcast clouds
102,Mahebourg,MU,-20.4081,57.7,72.25,73,40,11.5,scattered clouds
103,Izhma,RU,65.0083,53.9113,37.02,83,100,3.44,overcast clouds
104,Sumenep,ID,-7.0167,113.8667,81.5,77,94,5.39,overcast clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,75,19.57,broken clouds
106,Natal,BR,-5.795,-35.2094,88.45,54,20,19.57,few clouds
107,Sri Aman,MY,1.2376,111.4621,73.45,100,100,3.44,moderate rain
108,Yumen,CN,40.2833,97.2,51.17,23,100,16.46,overcast clouds
109,Tasiilaq,GL,65.6145,-37.6368,32.16,65,0,9.69,clear sky
110,Torbay,CA,47.6666,-52.7314,62.89,73,40,4.61,scattered clouds
111,Thompson,CA,55.7435,-97.8558,33.96,100,100,8.05,light rain
112,La Rioja,ES,42.25,-2.5,73.18,41,0,4.36,clear sky
113,Cape Town,ZA,-33.9258,18.4232,66.61,76,20,26.46,few clouds
114,Husavik,IS,66.0449,-17.3389,37.15,87,100,15.84,overcast clouds
115,Sakaiminato,JP,35.55,133.2333,64.38,77,20,2.3,few clouds
116,Concepcion Del Oro,MX,24.6333,-101.4167,63.99,58,1,5.77,clear sky
117,Upernavik,GL,72.7868,-56.1549,26.31,82,100,25.12,overcast clouds
118,Lensk,RU,60.7253,114.9278,31.01,96,99,3.47,overcast clouds
119,Coron,PH,11.9986,120.2043,78.44,89,96,4.36,overcast clouds
120,Half Moon Bay,US,37.4636,-122.4286,58.78,94,100,5.75,mist
121,Tura,IN,25.5198,90.2201,71.91,92,4,2.37,clear sky
122,Excelsior Springs,US,39.3392,-94.2261,63.5,36,0,8.05,clear sky
123,Hebi,CN,35.8992,114.1925,62.33,44,99,2.19,overcast clouds
124,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,70.47,60,24,15.46,few clouds
125,Aklavik,CA,68.2191,-135.0107,19.4,86,40,4.61,scattered clouds
126,Quatre Cocos,MU,-20.2078,57.7625,72.09,75,18,15.3,light rain
127,Kodiak,US,57.79,-152.4072,45.91,76,75,13.8,broken clouds
128,Miri,MY,4.4148,114.0089,78.94,89,20,2.3,few clouds
129,Nan,TH,18.8333,100.6667,70.56,96,77,0.45,broken clouds
130,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,13.8,light rain
131,Kalmunai,LK,7.4167,81.8167,77.27,90,96,7.09,overcast clouds
132,Isangel,VU,-19.55,169.2667,69.91,72,27,8.39,scattered clouds
133,Te Anau,NZ,-45.4167,167.7167,39.0,88,5,1.23,clear sky
134,Kieta,PG,-6.2167,155.6333,79.68,80,97,2.04,overcast clouds
135,Mount Isa,AU,-20.7333,139.5,71.37,46,27,8.05,light rain
136,Bijar,IR,35.8668,47.6051,60.66,25,31,8.23,scattered clouds
137,Port Hardy,CA,50.6996,-127.4199,48.38,100,75,2.3,fog
138,Smithers,CA,54.7804,-127.1743,43.12,100,75,3.44,fog
139,Kurchum,KZ,48.5722,83.6542,49.51,35,71,0.83,broken clouds
140,Boguchany,RU,58.3814,97.4531,33.06,85,99,3.2,overcast clouds
141,Vrangel,RU,42.7297,133.0839,55.47,90,100,4.92,overcast clouds
142,Castro,BR,-24.7911,-50.0119,58.57,98,100,5.44,overcast clouds
143,Asyut,EG,27.181,31.1837,84.38,31,3,10.25,clear sky
144,Rawson,AR,-43.3002,-65.1023,63.07,34,0,7.87,clear sky
145,Kalmar,SE,56.6616,16.3616,58.14,88,20,8.05,few clouds
146,Tucuman,AR,-26.8241,-65.2226,66.2,27,8,5.75,clear sky
147,Almaznyy,RU,48.0448,40.045,46.31,51,54,6.51,broken clouds
148,Mae Hong Son,TH,19.3003,97.9685,72.39,98,91,1.97,overcast clouds
149,Ribeira Grande,PT,38.5167,-28.7,73.8,83,40,10.0,scattered clouds
150,Qeshm,IR,26.9581,56.2719,89.47,59,0,7.0,clear sky
151,Carnarvon,AU,-24.8667,113.6333,66.22,64,0,16.62,clear sky
152,Amalapuram,IN,16.5833,82.0167,74.26,95,100,3.0,light rain
153,Perry,US,37.2506,-83.1999,57.92,28,0,11.39,clear sky
154,Shaunavon,CA,49.6501,-108.4181,49.78,45,73,12.12,broken clouds
155,Lompoc,US,34.6391,-120.4579,61.79,95,100,3.44,light intensity drizzle
156,Loding,NO,67.3,14.75,45.32,67,0,21.85,clear sky
157,Georgetown,MY,5.4112,100.3354,78.89,91,40,1.14,light rain
158,Rio Gallegos,AR,-51.6226,-69.2181,59.05,33,75,23.02,broken clouds
