City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Aransas Pass,US,86.0,broken clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
361,Jensen Beach,US,86.07,scattered clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
363,Coahuayana,MX,85.17,light rain,18.7333,-103.6833,El rranchito michuacan de ocampos
367,Banjar,ID,77.74,broken clouds,-8.19,114.9675,The Hamsa Resort
371,Vallenar,CL,80.28,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
373,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
379,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
381,Manono,CD,88.3,broken clouds,-7.3,27.4167,Hotel hewa bora
384,Ndjole,GA,77.43,moderate rain,-0.1783,10.7649,Motel Kédyann
385,Shenzhen,CN,80.15,few clouds,22.5455,114.0683,Grand Skylight
391,Warri,NG,75.0,overcast clouds,5.5167,5.75,GT Guesthouse
392,Cupira,BR,84.06,broken clouds,-8.6167,-35.95,Hotel Farm Home to Glory
395,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
397,Umm Lajj,SA,82.6,clear sky,25.0213,37.2685,Moon light Furnished Units
403,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
404,Vila Do Maio,CV,84.99,broken clouds,15.1333,-23.2167,Hotel Marilu
407,Teguise,ES,77.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
413,Negombo,LK,75.25,moderate rain,7.2083,79.8358,Hotel Sunset Beach
414,Pathein,MM,76.5,moderate rain,16.7833,94.7333,Pathein Hotel
419,Kudahuvadhoo,MV,80.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
423,Manaul,PH,80.15,broken clouds,12.453,121.4107,Falogme Bamboo House near at Buktot Beach
425,Nicoya,CR,81.86,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
426,Chibuto,MZ,82.22,clear sky,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
433,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
436,Bongouanou,CI,78.73,moderate rain,6.6486,-4.1992,Hotel du Lac
440,Pangkalanbuun,ID,75.94,light rain,-2.6833,111.6167,Grand Kecubung Hotel
441,Belmonte,BR,80.28,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
445,Nata,PA,82.27,light rain,8.3333,-80.5167,Rey David
449,Gigmoto,PH,79.92,overcast clouds,13.7796,124.39,Cj's Travellers Inn
450,Palimbang,PH,78.17,overcast clouds,6.2106,124.1894,Felmar Beach resort
452,Salaya,IN,84.22,clear sky,22.3167,69.6,Sumbhaniya suni Mualim Jamat
455,Coimbra,PT,79.52,clear sky,40.2056,-8.4195,Hotel Quinta das Lágrimas
469,Blantyre,MW,81.41,clear sky,-15.785,35.0085,Home Up Guest House
470,Wanning,CN,77.2,overcast clouds,18.8003,110.3967,Paradise Hotel
475,Boca Do Acre,BR,84.0,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
476,Berbera,SO,85.84,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
479,Odweyne,SO,79.57,clear sky,9.4092,45.064,Eng Hiirey House
481,Guarapari,BR,80.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
482,Gizo,SB,82.0,overcast clouds,-8.103,156.8419,Imagination Island
489,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
493,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
494,Victoria,HK,80.26,few clouds,22.2855,114.1577,Mini Central
495,Seminole,US,85.37,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
496,Santa Rosa,PH,84.18,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
500,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
503,Eha Amufu,NG,78.71,overcast clouds,6.6592,7.7596,Eden Resort
504,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
505,Rajula,IN,80.13,overcast clouds,21.05,71.4333,Lion Lords Inn Rajula
512,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
513,Zhuhai,CN,78.58,clear sky,22.2769,113.5678,珠海粤财假日酒店
516,Tucupita,VE,87.48,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
517,La Primavera,CO,87.3,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
523,Hays,US,79.3,scattered clouds,30.0502,-98.0336,CHAPEL HOME
524,Esmeralda,CU,86.36,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
526,Iracoubo,GF,82.92,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
527,Nishihara,JP,80.26,light rain,26.1842,127.7558,Minshuku Agaihama
536,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
538,Nauta,PE,82.71,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
539,Marrakesh,MA,89.67,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
540,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
544,Vila Franca Do Campo,PT,75.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
546,Buchanan,LR,80.08,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
548,Port Keats,AU,82.4,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
555,Guanica,PR,89.53,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
556,Dubai,AE,89.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
561,Kaputa,ZM,83.77,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
563,Hirara,JP,80.8,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
565,Corn Island,NI,82.44,scattered clouds,12.1694,-83.0418,Big Fish Guest House
570,Bhatkal,IN,77.95,overcast clouds,13.9667,74.5667,Nilawar Palace Lodge
574,Tallahassee,US,76.32,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
580,Mattru,SL,82.87,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
582,Tarauaca,BR,80.47,overcast clouds,-8.1614,-70.7656,Flat Temporada
584,Catalina Foothills,US,80.98,clear sky,32.2979,-110.9187,The Westin La Paloma Resort & Spa
586,Roura,GF,89.51,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
589,Naze,JP,76.12,light rain,28.3667,129.4833,Shishime Hotel
596,Panama City,PA,86.43,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
597,Itarema,BR,88.16,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
598,Buta,CD,79.02,light rain,2.7858,24.73,Hôtel BOPANDO
599,Ewa Beach,US,75.4,clear sky,21.3156,-158.0072,Base Lodging
600,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
602,Point Fortin,TT,88.9,clear sky,10.1833,-61.6833,Jus Les' Suites
605,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
610,Banda Aceh,ID,79.77,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
611,Kinchil,MX,83.05,overcast clouds,20.9167,-89.95,Club de nutricion herbalife kinchil
613,Lake City,US,75.61,clear sky,30.1897,-82.6393,Ramada Limited Lake City
615,Lazaro Cardenas,MX,82.2,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
616,Cabo Frio,BR,80.53,clear sky,-22.8794,-42.0186,Hotel Balneário Cabo Frio
617,Meulaboh,ID,77.07,moderate rain,4.1363,96.1285,Kost Pria
624,Kota Bahru,MY,78.75,few clouds,6.1333,102.2386,Grand Riverview Hotel
626,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
628,Touros,BR,85.68,clear sky,-5.1989,-35.4608,INN NEW HORIZON
630,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
634,Bonthe,SL,83.35,light rain,7.5264,-12.505,Bonthe Holiday Village
638,Robertsport,LR,79.86,light rain,6.7533,-11.3686,Kwepunha Retreat
642,Marsh Harbour,BS,79.23,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
644,Santa Luzia,BR,87.94,scattered clouds,-19.7697,-43.8514,Pousada Chao Earth
648,Mwene-Ditu,CD,82.26,overcast clouds,-7.0,23.45,African'zuri
651,Cozumel,MX,86.95,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
655,Harper,LR,79.3,light rain,4.375,-7.7169,Screensaver
656,Srandakan,ID,76.68,overcast clouds,-7.9386,110.2506,Puri Brata
657,Mancio Lima,BR,87.87,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
666,Bani Walid,LY,78.17,clear sky,31.7566,13.9942,مركزGLC للطلاء
667,Lichinga,MZ,77.09,smoke,-13.3128,35.2406,Residencial Bendiak
668,Mayumba,GA,78.91,overcast clouds,-3.432,10.6554,LIKWALE LODGE
673,Porbandar,IN,83.98,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
678,Veraval,IN,82.35,scattered clouds,20.9,70.3667,Lords Inn Somnath
681,Impfondo,CG,79.95,broken clouds,1.6381,18.0667,Auberge La Place de Jules
682,Eirunepe,BR,81.19,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
685,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
689,Omboue,GA,77.47,overcast clouds,-1.5746,9.2618,Hotel Olako
691,Catuday,PH,80.22,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
