City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Bosaso,11.2842,49.1816,80.58,69,0,3.44,SO,2022-10-14 04:23:54
125,Carnarvon,-24.8667,113.6333,77.81,32,0,5.08,AU,2022-10-14 04:23:54
126,Kahului,20.8947,-156.47,82.42,81,40,10.36,US,2022-10-14 04:23:06
127,Ribeira Grande,38.5167,-28.7,72.77,88,57,7.0,PT,2022-10-14 04:23:54
128,Alofi,-19.0595,-169.9187,80.49,78,87,10.36,NU,2022-10-14 04:23:55
129,Arraial Do Cabo,-22.9661,-42.0278,70.92,90,4,24.07,BR,2022-10-14 04:23:55
130,Honiara,-9.4333,159.95,85.91,62,98,5.3,SB,2022-10-14 04:23:56
131,Mount Gambier,-37.8333,140.7667,58.71,57,3,14.63,AU,2022-10-14 04:14:56
132,Rawson,-43.3002,-65.1023,50.05,45,97,14.56,AR,2022-10-14 04:23:56
133,Mount Isa,-20.7333,139.5,85.77,28,2,11.5,AU,2022-10-14 04:23:57
134,Vannes,47.8333,-2.5,56.01,90,100,4.14,FR,2022-10-14 04:24:57
135,Constitucion,-35.3333,-72.4167,51.58,61,0,9.35,CL,2022-10-14 04:24:58
136,Port Alfred,-33.5906,26.891,63.18,96,100,5.99,ZA,2022-10-14 04:24:58
137,Sao Joao Da Barra,-21.6403,-41.0511,72.77,87,25,14.67,BR,2022-10-14 04:24:59
138,Cabo San Lucas,22.8909,-109.9124,77.61,71,3,5.01,MX,2022-10-14 04:22:49
139,Grindavik,63.8424,-22.4338,37.87,75,0,21.85,IS,2022-10-14 04:24:59
140,Westerland,54.9079,8.3033,53.62,76,75,10.36,DE,2022-10-14 04:24:59
141,Victoria,22.2855,114.1577,86.25,57,9,8.99,HK,2022-10-14 04:20:37
142,Sampit,-2.5333,112.95,84.51,78,65,3.09,ID,2022-10-14 04:25:00
143,Rostovka,55.3842,71.8891,46.06,55,100,16.2,RU,2022-10-14 04:25:00
144,Elizabeth City,36.2946,-76.2511,67.01,98,100,3.44,US,2022-10-14 04:25:01
145,Naze,28.3667,129.4833,77.92,86,61,23.55,JP,2022-10-14 04:25:01
146,Guamuchil,25.4667,-108.1,81.68,77,2,0.96,MX,2022-10-14 04:25:01
147,Todos Santos,23.45,-110.2167,74.44,81,11,7.47,MX,2022-10-14 04:25:02
148,Arica,-18.475,-70.3042,61.03,67,100,6.91,CL,2022-10-14 04:25:03
149,Cermik,38.1361,39.4493,63.95,54,93,4.36,TR,2022-10-14 04:25:04
150,Cayenne,4.9333,-52.3333,75.24,94,20,0.0,GF,2022-10-14 04:24:57
151,Batamshinskiy,50.5594,58.2747,43.68,89,41,12.48,KZ,2022-10-14 04:25:05
152,Kruisfontein,-34.0033,24.7314,63.88,85,100,9.84,ZA,2022-10-14 04:25:05
153,Saskylakh,71.9167,114.0833,8.04,97,86,3.71,RU,2022-10-14 04:25:07
154,Thompson,55.7435,-97.8558,35.76,93,100,9.22,CA,2022-10-14 04:25:07
155,Chokurdakh,70.6333,147.9167,12.49,88,97,5.21,RU,2022-10-14 04:24:18
156,Redmond,47.674,-122.1215,62.78,75,4,1.01,US,2022-10-14 04:24:42
